NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,DATE
Affiliated Managers Group Inc.,COM,008252108,0,792140,data/raw/SoutheasternAssetManagement/13f123.x
Affiliated Managers Group Inc.,COM,008252108,0,82816803,data/raw/SoutheasternAssetManagement/13f123.x
Alphabet Inc. CL C,COM,02079K107,0,32513728,data/raw/SoutheasternAssetManagement/13f123.x
Alphabet Inc. CL C,COM,02079K107,0,795912,data/raw/SoutheasternAssetManagement/13f123.x
Alphabet Inc. CL C,COM,02079K107,0,53801176,data/raw/SoutheasternAssetManagement/13f123.x
Anywhere Real Estate Inc,COM,75605Y106,0,20497,data/raw/SoutheasternAssetManagement/13f123.x
Anywhere Real Estate Inc,COM,75605Y106,0,175528,data/raw/SoutheasternAssetManagement/13f123.x
Anywhere Real Estate Inc,COM,75605Y106,0,35421698,data/raw/SoutheasternAssetManagement/13f123.x
Boston Beer Company Inc.,COM,100557107,0,25967,data/raw/SoutheasternAssetManagement/13f123.x
Boston Beer Company Inc.,COM,100557107,0,35654418,data/raw/SoutheasternAssetManagement/13f123.x
Cardinal Health Inc,COM,14149Y108,0,1267267,data/raw/SoutheasternAssetManagement/13f123.x
CNH Industrial NV - U.S.,COM,N20944109,0,12893820,data/raw/SoutheasternAssetManagement/13f123.x
CNH Industrial NV - U.S.,COM,N20944109,0,520951,data/raw/SoutheasternAssetManagement/13f123.x
CNH Industrial NV - U.S.,COM,N20944109,0,12310323,data/raw/SoutheasternAssetManagement/13f123.x
CNX Resources Corp,COM,12653C108,0,55158302,data/raw/SoutheasternAssetManagement/13f123.x
CNX Resources Corp,COM,12653C108,0,165255656,data/raw/SoutheasternAssetManagement/13f123.x
Empire State Realty Trust Inc.,COM,292104106,0,32800,data/raw/SoutheasternAssetManagement/13f123.x
Empire State Realty Trust Inc.,COM,292104106,0,53634970,data/raw/SoutheasternAssetManagement/13f123.x
FedEx Corporation,COM,31428X106,0,54072387,data/raw/SoutheasternAssetManagement/13f123.x
FedEx Corporation,COM,31428X106,0,1157073,data/raw/SoutheasternAssetManagement/13f123.x
FedEx Corporation,COM,31428X106,0,93818451,data/raw/SoutheasternAssetManagement/13f123.x
Fidelity National Information ,COM,31620M106,0,18164040,data/raw/SoutheasternAssetManagement/13f123.x
Fidelity National Information ,COM,31620M106,0,657556,data/raw/SoutheasternAssetManagement/13f123.x
Fidelity National Information ,COM,31620M106,0,42848115,data/raw/SoutheasternAssetManagement/13f123.x
Fiserv Inc,COM,337738108,0,29014123,data/raw/SoutheasternAssetManagement/13f123.x
Fiserv Inc,COM,337738108,0,802287,data/raw/SoutheasternAssetManagement/13f123.x
Fiserv Inc,COM,337738108,0,58701000,data/raw/SoutheasternAssetManagement/13f123.x
Fortune Brands Innovations Inc,COM,34964C106,0,10629425,data/raw/SoutheasternAssetManagement/13f123.x
Fortune Brands Innovations Inc,COM,34964C106,0,39570395,data/raw/SoutheasternAssetManagement/13f123.x
GE Healthcare Holding LLC,COM,36266G107,0,1079433,data/raw/SoutheasternAssetManagement/13f123.x
General Electric,COM,369604301,0,42407108,data/raw/SoutheasternAssetManagement/13f123.x
General Electric,COM,369604301,0,1015750,data/raw/SoutheasternAssetManagement/13f123.x
General Electric,COM,369604301,0,74481100,data/raw/SoutheasternAssetManagement/13f123.x
Graham Holdings Company,COM,384637104,0,12619295,data/raw/SoutheasternAssetManagement/13f123.x
Graham Holdings Company,COM,384637104,0,732287,data/raw/SoutheasternAssetManagement/13f123.x
Graham Holdings Company,COM,384637104,0,54595032,data/raw/SoutheasternAssetManagement/13f123.x
H World Group Limited ADR,COM,44332N106,0,19924721,data/raw/SoutheasternAssetManagement/13f123.x
Hasbro Inc,COM,418056107,0,12925814,data/raw/SoutheasternAssetManagement/13f123.x
Hasbro Inc,COM,418056107,0,22898785,data/raw/SoutheasternAssetManagement/13f123.x
Hyatt Hotels Corp. -  Class A,COM,448579102,0,35689069,data/raw/SoutheasternAssetManagement/13f123.x
Hyatt Hotels Corp. -  Class A,COM,448579102,0,864472,data/raw/SoutheasternAssetManagement/13f123.x
Hyatt Hotels Corp. -  Class A,COM,448579102,0,130950918,data/raw/SoutheasternAssetManagement/13f123.x
IAC Inc,COM,44891N208,0,49480169,data/raw/SoutheasternAssetManagement/13f123.x
