Name of Issuer,Title of Class,CUSIP,Value,sshPrnamt,sshPrnamtType,Investment Discretion,Other Manager,Sole,Shared,None
ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,1079406,5841892,SH,SOLE,NA,5841892,0,0
ADOBE INC,COM,00724F101,1358805,4611589,SH,SOLE,NA,4611589,0,0
ALARM COM HLDGS INC,COM,011642105,943,17630,SH,SOLE,NA,17630,0,0
ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,36215,213719,SH,SOLE,NA,213719,0,0
ALIGN TECHNOLOGY INC,COM,016255101,712533,2603337,SH,SOLE,NA,2603337,0,0
ALPHABET INC,CAP STK CL C,02079K107,1426398,1319627,SH,SOLE,NA,1319627,0,0
ALPHABET INC,CAP STK CL A,02079K305,417887,385932,SH,SOLE,NA,385932,0,0
ALTAIR ENGR INC,COM CL A,021369103,494,12242,SH,SOLE,NA,12242,0,0
AMN HEALTHCARE SERVICES INC,COM,001744101,726,13390,SH,SOLE,NA,13390,0,0
AUTOMATIC DATA PROCESSING IN,COM,053015103,773133,4676299,SH,SOLE,NA,4676299,0,0
BLACKBAUD INC,COM,09227Q100,1346,16119,SH,SOLE,NA,16119,0,0
BOOKING HLDGS INC,COM,09857L108,466227,248693,SH,SOLE,NA,248693,0,0
CANTEL MEDICAL CORP,COM,138098108,964,11952,SH,SOLE,NA,11952,0,0
CHECK POINT SOFTWARE TECH LT,ORD,M22465104,9404,81343,SH,SOLE,NA,81343,0,0
DOLLAR GEN CORP NEW,COM,256677105,819276,6061528,SH,SOLE,NA,6061528,0,0
EPAM SYS INC,COM,29414B104,791,4570,SH,SOLE,NA,4570,0,0
EURONET WORLDWIDE INC,COM,298736109,1094,6500,SH,SOLE,NA,6500,0,0
EXLSERVICE HOLDINGS INC,COM,302081104,707,10688,SH,SOLE,NA,10688,0,0
FACEBOOK INC,CL A,30303M102,1806031,9357675,SH,SOLE,NA,9357675,0,0
FIVE BELOW INC,COM,33829M101,597,4976,SH,SOLE,NA,4976,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,950,22671,SH,SOLE,NA,22671,0,0
FOX FACTORY HLDG CORP,COM,35138V102,2256,27342,SH,SOLE,NA,27342,0,0
GARTNER INC,COM,366651107,797449,4954947,SH,SOLE,NA,4954947,0,0
GLOBANT S A,COM,L44385109,2140,21174,SH,SOLE,NA,21174,0,0
GRAND CANYON ED INC,COM,38526M106,1057,9031,SH,SOLE,NA,9031,0,0
ICON PLC,SHS,G4705A100,22950,149054,SH,SOLE,NA,149054,0,0
INOGEN INC,COM,45780L104,339,5083,SH,SOLE,NA,5083,0,0
ISHARES TR,RUS 1000 GRW ETF,464287614,8092,51432,SH,SOLE,NA,51432,0,0
LEMAITRE VASCULAR INC,COM,525558201,808,28881,SH,SOLE,NA,28881,0,0
LENDINGTREE INC NEW,COM,52603B107,1095,2607,SH,SOLE,NA,2607,0,0
LITTELFUSE INC,COM,537008104,815,4605,SH,SOLE,NA,4605,0,0
MASIMO CORP,COM,574795100,968,6506,SH,SOLE,NA,6506,0,0
MASTERCARD INC,CL A,57636Q104,1161833,4392067,SH,SOLE,NA,4392067,0,0
MEDIDATA SOLUTIONS INC,COM,58471A105,1242,13726,SH,SOLE,NA,13726,0,0
MEDIFAST INC,COM,58470H101,622,4845,SH,SOLE,NA,4845,0,0
MEDTRONIC PLC,SHS,G5960L103,14176,145554,SH,SOLE,NA,145554,0,0
MICROSOFT CORP,COM,594918104,2089166,15595445,SH,SOLE,NA,15595445,0,0
NEOGEN CORP,COM,640491106,740,11918,SH,SOLE,NA,11918,0,0
NIKE INC,CL B,654106103,855453,10190033,SH,SOLE,NA,10190033,0,0
NOVO-NORDISK A S,ADR,670100205,3029,59343,SH,SOLE,NA,59343,0,0
O REILLY AUTOMOTIVE INC NEW,COM,67103H107,799345,2164369,SH,SOLE,NA,2164369,0,0
OLLIES BARGAIN OUTLT HLDGS I,COM,681116109,1014,11635,SH,SOLE,NA,11635,0,0
ORACLE CORP,COM,68389X105,822884,14444171,SH,SOLE,NA,14444171,0,0
PAYCOM SOFTWARE INC,COM,70432V102,1397,6162,SH,SOLE,NA,6162,0,0
PAYPAL HLDGS INC,COM,70450Y103,821038,7173147,SH,SOLE,NA,7173147,0,0
POOL CORPORATION,COM,73278L105,1911,10007,SH,SOLE,NA,10007,0,0
REGENERON PHARMACEUTICALS,COM,75886F107,496140,1585113,SH,SOLE,NA,1585113,0,0
RELX PLC,SPONSORED ADR,759530108,9589,392824,SH,SOLE,NA,392824,0,0
SAP SE,SPON ADR,803054204,20657,151003,SH,SOLE,NA,151003,0,0
STARBUCKS CORP,COM,855244109,947877,11307128,SH,SOLE,NA,11307128,0,0
TEXAS ROADHOUSE INC,COM,882681109,660,12290,SH,SOLE,NA,12290,0,0
TREX CO INC,COM,89531P105,1159,16164,SH,SOLE,NA,16164,0,0
U S PHYSICAL THERAPY INC,COM,90337L108,855,6972,SH,SOLE,NA,6972,0,0
UNILEVER PLC,SPON ADR NEW,904767704,12509,201849,SH,SOLE,NA,201849,0,0
VISA INC,COM CL A,92826C839,1655436,9538670,SH,SOLE,NA,9538670,0,0
ZOETIS INC,CL A,98978V103,1156299,10188554,SH,SOLE,NA,10188554,0,0
