Name of Issuer,Title of Class,CUSIP,Value,sshPrnamt,sshPrnamtType,Investment Discretion,Other Manager,Sole,Shared,None
Affiliated Managers Group Inc.,COM,008252108,148228,1051637,SH,SOLE,NA,471860,108095,471682
Affiliated Managers Group Inc.,COM,008252108,784,5562,SH,DFND,03,5562,0,0
Affiliated Managers Group Inc.,COM,008252108,101206,718031,SH,DFND,01,718031,0,0
Biogen Inc,COM,09062X103,96213,456851,SH,SOLE,NA,249263,0,207588
Biogen Inc,COM,09062X103,81315,386111,SH,DFND,01,386111,0,0
Cardinal Health Inc,COM,14149Y108,1225,21608,SH,DFND,03,21608,0,0
CNH Industrial NV - U.S.,COM,N20944109,22958,1447535,SH,SOLE,NA,1447535,0,0
CNH Industrial NV - U.S.,COM,N20944109,541,34116,SH,DFND,03,34116,0,0
CNH Industrial NV - U.S.,COM,N20944109,23198,1462702,SH,DFND,01,1462702,0,0
CNX Resources Corp,COM,12653C108,207048,9992651,SH,SOLE,NA,4849833,649824,4492994
CNX Resources Corp,COM,12653C108,264010,12741792,SH,DFND,01,12741792,0,0
Comcast Corporation Cl A,COM,20030N101,446,9531,SH,DFND,03,9531,0,0
Discovery Inc - C,COM,25470F302,183540,7350417,SH,SOLE,NA,3363354,813836,3173227
Discovery Inc - C,COM,25470F302,866,34667,SH,DFND,03,34667,0,0
Discovery Inc - C,COM,25470F302,113800,4557456,SH,DFND,01,4557456,0,0
Douglas Emmett Inc,COM,25960P109,90503,2708049,SH,SOLE,NA,935662,0,1772387
Douglas Emmett Inc,COM,25960P109,680,20338,SH,DFND,03,20338,0,0
Douglas Emmett Inc,COM,25960P109,84388,2525068,SH,DFND,01,2525068,0,0
Empire State Realty Trust Inc.,COM,292104106,43599,4439826,SH,SOLE,NA,5097,1034729,3400000
Empire State Realty Trust Inc.,COM,292104106,806,82046,SH,DFND,03,82046,0,0
Empire State Realty Trust Inc.,COM,292104106,100899,10274803,SH,DFND,01,10274803,0,0
FedEx Corporation,COM,31428X106,195216,843665,SH,SOLE,NA,385162,95978,362525
FedEx Corporation,COM,31428X106,1001,4326,SH,DFND,03,4326,0,0
FedEx Corporation,COM,31428X106,125077,540545,SH,DFND,01,540545,0,0
Fiserv Inc,COM,337738108,51303,505947,SH,SOLE,NA,322447,0,183500
Fiserv Inc,COM,337738108,568,5602,SH,DFND,03,5602,0,0
Fiserv Inc,COM,337738108,66226,653112,SH,DFND,01,653112,0,0
General Electric,COM,369604301,166901,1824053,SH,SOLE,NA,829770,198909,795374
General Electric,COM,369604301,972,10625,SH,DFND,02,0,0,10625
General Electric,COM,369604301,99231,1084487,SH,DFND,01,1084487,0,0
Graham Holdings Company,COM,384637104,88586,144874,SH,SOLE,NA,37445,0,107429
